"Time (s)","Pressure (hPa)"
2.529978810E2,9.948995972E2
2.540660410E2,9.948791504E2
2.551341720E2,9.948591614E2
2.562023550E2,9.948391724E2
2.572704870E2,9.948203278E2
2.583385990E2,9.948029327E2
2.594066900E2,9.947842407E2
2.604747950E2,9.947659302E2
2.615429000E2,9.947463989E2
2.626109860E2,9.947288513E2
2.636791410E2,9.947087097E2
2.647472100E2,9.946911621E2
2.658153190E2,9.946719360E2
2.668834440E2,9.946533966E2
2.679515180E2,9.946336365E2
2.690195550E2,9.946157837E2
2.700876410E2,9.945954895E2
2.711557320E2,9.945780182E2
2.722238300E2,9.945583344E2
2.732919620E2,9.945404816E2
2.743601880E2,9.945223236E2
2.754283440E2,9.945054626E2
2.764965110E2,9.944876862E2
2.775646960E2,9.944693756E2
2.786328260E2,9.944512939E2
2.797009760E2,9.944324493E2
2.807691300E2,9.944127655E2
2.818372360E2,9.943936920E2
2.829053570E2,9.943756104E2
2.839734660E2,9.943556976E2
2.850415640E2,9.943358612E2
2.861096570E2,9.943152618E2
2.871777660E2,9.942929077E2
2.882459050E2,9.942731476E2
2.893140400E2,9.942530060E2
2.903821630E2,9.942320251E2
2.914502920E2,9.942131042E2
2.925184230E2,9.941953278E2
2.935865110E2,9.941752625E2
2.946545960E2,9.941557312E2
2.957226850E2,9.941352844E2
2.967907890E2,9.941152191E2
2.978588860E2,9.940935516E2
2.989269730E2,9.940740967E2
2.999950780E2,9.940544891E2
3.010631390E2,9.940353394E2
3.021312050E2,9.940154266E2
3.031992880E2,9.939971924E2
3.042673740E2,9.939774323E2
3.053354560E2,9.939561462E2
3.064035180E2,9.939361572E2
3.074715700E2,9.939151001E2
3.085396120E2,9.938945007E2
3.096076730E2,9.938739014E2
3.106757490E2,9.938548279E2
3.117438040E2,9.938365936E2
3.128118770E2,9.938179016E2
3.138799770E2,9.937991333E2
3.149480420E2,9.937800598E2
3.160161390E2,9.937593842E2
3.170842440E2,9.937398529E2
3.181524120E2,9.937187958E2
3.192205350E2,9.936974335E2
3.202886500E2,9.936777496E2
3.213567690E2,9.936591339E2
3.224248970E2,9.936393738E2
3.234930700E2,9.936215210E2
3.245611960E2,9.936046600E2
3.256292850E2,9.935865021E2
3.266973470E2,9.935655212E2
3.277654540E2,9.935469055E2
3.288335490E2,9.935260010E2
3.299015870E2,9.935056305E2
3.309696400E2,9.934875488E2
3.320377120E2,9.934691620E2
3.331058070E2,9.934498596E2
3.341739180E2,9.934337616E2
3.352420570E2,9.934155273E2
3.363101880E2,9.933956146E2
3.373782970E2,9.933775330E2
3.384464110E2,9.933597565E2
3.395144930E2,9.933381653E2
3.405825920E2,9.933181000E2
3.416506640E2,9.932995605E2
3.427187300E2,9.932801056E2
3.437868060E2,9.932611084E2
3.448548740E2,9.932423401E2
3.459229620E2,9.932233429E2
3.469910250E2,9.932046509E2
3.480590850E2,9.931852722E2
3.491271580E2,9.931651306E2
3.501952380E2,9.931452942E2
3.512633280E2,9.931272125E2
3.523313750E2,9.931081390E2
3.533994660E2,9.930876923E2
3.544675890E2,9.930705261E2
3.555356710E2,9.930516815E2
3.566037470E2,9.930304718E2
3.576717820E2,9.930078888E2
3.587398450E2,9.929874420E2
3.598079530E2,9.929652405E2
3.608760320E2,9.929435730E2
3.619440740E2,9.929241943E2
3.630121170E2,9.929062653E2
3.640801900E2,9.928868866E2
3.651482560E2,9.928664398E2
3.662163980E2,9.928487396E2
3.672845420E2,9.928292847E2
3.683526310E2,9.928105927E2
3.694207390E2,9.927902222E2
3.704888500E2,9.927732849E2
3.715569560E2,9.927519989E2
3.726250510E2,9.927304840E2
3.736931020E2,9.927107239E2
