"Time (s)","Pressure (hPa)"
7.915090279E2,9.865104675E2
7.925806599E2,9.864968109E2
7.936522869E2,9.864852142E2
7.947239349E2,9.864713287E2
7.957955449E2,9.864588928E2
7.968671209E2,9.864461517E2
7.979386519E2,9.864334106E2
7.990101989E2,9.864192200E2
8.000817459E2,9.864053345E2
8.011532779E2,9.863905334E2
8.022247969E2,9.863745880E2
8.032963609E2,9.863597107E2
8.043679499E2,9.863452148E2
8.054395399E2,9.863307190E2
8.065110809E2,9.863179779E2
8.075826149E2,9.863061523E2
8.086540939E2,9.862921906E2
8.097255689E2,9.862781525E2
8.107971069E2,9.862657928E2
8.118686709E2,9.862519836E2
8.129401729E2,9.862379456E2
8.140116649E2,9.862252045E2
8.150831639E2,9.862123108E2
8.161547069E2,9.861994934E2
8.172262759E2,9.861894226E2
8.182978149E2,9.861780548E2
8.193693969E2,9.861653137E2
8.204409589E2,9.861537933E2
8.215125469E2,9.861398315E2
8.225841089E2,9.861275482E2
8.236556639E2,9.861132050E2
8.247272399E2,9.861013794E2
8.257989079E2,9.860891724E2
8.268704979E2,9.860782623E2
8.279420279E2,9.860640717E2
8.290136029E2,9.860507202E2
8.300851319E2,9.860386658E2
8.311566829E2,9.860264587E2
8.322282559E2,9.860134125E2
8.332998239E2,9.860028076E2
8.343713729E2,9.859920502E2
8.354429159E2,9.859783936E2
8.365144869E2,9.859674835E2
8.375860699E2,9.859549713E2
8.386576779E2,9.859429169E2
8.397292899E2,9.859298706E2
8.408009089E2,9.859177399E2
8.418724949E2,9.859046173E2
8.429441029E2,9.858917999E2
8.440157099E2,9.858780670E2
8.450872769E2,9.858652496E2
8.461588269E2,9.858534241E2
8.472304109E2,9.858410645E2
8.483019659E2,9.858274841E2
8.493735379E2,9.858159637E2
8.504450919E2,9.858034515E2
8.515166139E2,9.857902527E2
8.525881859E2,9.857785034E2
8.536597059E2,9.857659912E2
8.547312529E2,9.857543945E2
8.558028009E2,9.857422638E2
8.568743319E2,9.857303619E2
8.579458379E2,9.857167053E2
8.590173569E2,9.857027435E2
8.600888579E2,9.856881714E2
8.611603579E2,9.856747437E2
8.622318319E2,9.856613922E2
8.633033439E2,9.856476593E2
8.643748599E2,9.856343079E2
8.654463939E2,9.856221771E2
8.665179239E2,9.856097412E2
8.675894449E2,9.855979156E2
8.686609999E2,9.855878448E2
8.697325769E2,9.855754852E2
8.708042029E2,9.855630493E2
8.718758259E2,9.855502319E2
8.729473989E2,9.855374146E2
8.740189759E2,9.855248260E2
8.750905429E2,9.855119324E2
8.761621059E2,9.854988098E2
8.772336939E2,9.854863739E2
8.783053349E2,9.854733276E2
8.793769329E2,9.854596710E2
8.804484489E2,9.854471588E2
8.815199579E2,9.854344940E2
8.825915359E2,9.854233551E2
8.836631199E2,9.854094696E2
8.847346999E2,9.853978729E2
8.858062319E2,9.853852081E2
8.868777679E2,9.853726196E2
8.879493209E2,9.853568268E2
8.890208899E2,9.853440094E2
8.900924459E2,9.853282166E2
8.911640129E2,9.853131104E2
8.922356439E2,9.852991486E2
8.933072349E2,9.852843475E2
8.943788029E2,9.852651215E2
8.954503659E2,9.852474213E2
8.965219559E2,9.852275848E2
8.975935389E2,9.852046967E2
8.986651429E2,9.851844025E2
8.997367409E2,9.851688385E2
9.008083249E2,9.851587677E2
9.018798879E2,9.851471710E2
9.029514679E2,9.851403809E2
9.040230479E2,9.851308441E2
9.050945959E2,9.851162720E2
9.061661879E2,9.850931549E2
9.072377999E2,9.850703430E2
9.083093649E2,9.850429535E2
9.093809689E2,9.850164795E2
9.104525929E2,9.849917603E2
9.115242349E2,9.849690247E2
9.125958179E2,9.849510956E2
9.136674109E2,9.849361420E2
9.147390339E2,9.849233246E2
9.158106649E2,9.849124146E2
9.168822309E2,9.849056244E2
9.179538209E2,9.848950958E2
9.190254019E2,9.848846436E2
9.200969819E2,9.848709106E2
9.211685399E2,9.848568726E2
9.222401239E2,9.848416901E2
9.233117799E2,9.848283386E2
9.243833679E2,9.848106384E2
9.254549759E2,9.847970581E2
9.265265309E2,9.847863770E2
9.275980549E2,9.847734833E2
9.286695829E2,9.847589874E2
9.297411219E2,9.847474670E2
9.308126849E2,9.847325134E2
9.318842629E2,9.847145081E2
9.329558379E2,9.846935272E2
9.340273859E2,9.846759033E2
9.350989109E2,9.846569061E2
9.361704969E2,9.846395111E2
9.372420449E2,9.846263885E2
9.383135639E2,9.846204376E2
9.393850669E2,9.846141815E2
9.404565789E2,9.846043396E2
9.415280769E2,9.845948792E2
9.425995779E2,9.845902252E2
9.436711269E2,9.845832062E2
9.447426619E2,9.845697021E2
9.458141879E2,9.845536041E2
9.468857469E2,9.845355988E2
9.479572959E2,9.845104980E2
9.490288569E2,9.844788361E2
9.501004339E2,9.844567871E2
9.511719889E2,9.844451904E2
9.522435349E2,9.844355774E2
9.533150959E2,9.844355774E2
9.543866519E2,9.844368744E2
9.554581979E2,9.844368744E2
9.565297569E2,9.844332123E2
9.576013529E2,9.844224548E2
