"Time (s)","Pressure (hPa)"
3.994293087E2,9.932112427E2
3.994693116E2,9.932103271E2
3.995093105E2,9.932104492E2
3.995492990E2,9.932092896E2
3.995893089E2,9.932073364E2
3.996293053E2,9.932078247E2
3.996692979E2,9.932083130E2
3.997093151E2,9.932055664E2
3.997493140E2,9.932049561E2
3.997893101E2,9.932057495E2
3.998293087E2,9.932049561E2
3.998693091E2,9.932034302E2
3.999093058E2,9.932030029E2
3.999493132E2,9.932015381E2
3.999893112E2,9.931990967E2
4.000293001E2,9.931961670E2
4.000693140E2,9.931944580E2
4.001093053E2,9.931935425E2
4.001493112E2,9.931909180E2
4.001893117E2,9.931895752E2
4.002293019E2,9.931897583E2
4.002693132E2,9.931896362E2
4.003093144E2,9.931905518E2
4.003493141E2,9.931920776E2
4.003893134E2,9.931925659E2
4.004293159E2,9.931918945E2
4.004693089E2,9.931891479E2
4.005093064E2,9.931862183E2
4.005493091E2,9.931850586E2
4.005893035E2,9.931829224E2
4.006293102E2,9.931807861E2
4.006692963E2,9.931802979E2
4.007093049E2,9.931784058E2
4.007493093E2,9.931760864E2
4.007893071E2,9.931749268E2
4.008293121E2,9.931741943E2
4.008693095E2,9.931729736E2
4.009093012E2,9.931726685E2
4.009493117E2,9.931737061E2
4.009893105E2,9.931739502E2
4.010293138E2,9.931737061E2
4.010693102E2,9.931746826E2
4.011093118E2,9.931744995E2
4.011493113E2,9.931735229E2
4.011893045E2,9.931733398E2
4.012293117E2,9.931733398E2
4.012693071E2,9.931737061E2
4.013093107E2,9.931725464E2
4.013493081E2,9.931715088E2
4.013893077E2,9.931727295E2
4.014293156E2,9.931733398E2
4.014693064E2,9.931734619E2
4.015093130E2,9.931770630E2
4.015493102E2,9.931790161E2
4.015893029E2,9.931770630E2
4.016293073E2,9.931738281E2
4.016693014E2,9.931707764E2
4.017093102E2,9.931688232E2
4.017493112E2,9.931700439E2
4.017893099E2,9.931699219E2
4.018293109E2,9.931690674E2
4.018693077E2,9.931712036E2
4.019093112E2,9.931704102E2
4.019493064E2,9.931676025E2
4.019893115E2,9.931672974E2
4.020293109E2,9.931676636E2
4.020693074E2,9.931645508E2
4.021093175E2,9.931629639E2
4.021493084E2,9.931624756E2
4.021893132E2,9.931608276E2
4.022293093E2,9.931630859E2
4.022693009E2,9.931666870E2
4.023093127E2,9.931679688E2
4.023493071E2,9.931676636E2
4.023893120E2,9.931678467E2
4.024293132E2,9.931653442E2
4.024693090E2,9.931614380E2
4.025093060E2,9.931593018E2
4.025493048E2,9.931577148E2
4.025893054E2,9.931568604E2
4.026293027E2,9.931557617E2
4.026693066E2,9.931555786E2
4.027093076E2,9.931549683E2
4.027493082E2,9.931541748E2
4.027893053E2,9.931534424E2
4.028293022E2,9.931528320E2
4.028693074E2,9.931502686E2
4.029093047E2,9.931479492E2
4.029492967E2,9.931468506E2
4.029893132E2,9.931463623E2
4.030293038E2,9.931474609E2
4.030693127E2,9.931489258E2
4.031093103E2,9.931485596E2
4.031493081E2,9.931463623E2
4.031893125E2,9.931446533E2
4.032293057E2,9.931422729E2
4.032693104E2,9.931400146E2
4.033093074E2,9.931391602E2
4.033493101E2,9.931397705E2
4.033893160E2,9.931393433E2
4.034293066E2,9.931383667E2
4.034693145E2,9.931372070E2
4.035093113E2,9.931357422E2
4.035493101E2,9.931333008E2
4.035893073E2,9.931329956E2
4.036293015E2,9.931329346E2
4.036692995E2,9.931307373E2
4.037093030E2,9.931304932E2
4.037493084E2,9.931317139E2
4.037893087E2,9.931295776E2
4.038293094E2,9.931263428E2
4.038693097E2,9.931268311E2
4.039093061E2,9.931265869E2
4.039493093E2,9.931235352E2
4.039893053E2,9.931210938E2
4.040293095E2,9.931213989E2
4.040693092E2,9.931212158E2
4.041093069E2,9.931191406E2
4.041493083E2,9.931184692E2
4.041893126E2,9.931194458E2
4.042293093E2,9.931192627E2
4.042693122E2,9.931187744E2
4.043092988E2,9.931163330E2
4.043493119E2,9.931150513E2
4.043893043E2,9.931155396E2
4.044293062E2,9.931141357E2
4.044693138E2,9.931124878E2
4.045093102E2,9.931138916E2
4.045493112E2,9.931142578E2
4.045893079E2,9.931121826E2
4.046293121E2,9.931118164E2
4.046692970E2,9.931108398E2
4.047093050E2,9.931118164E2
4.047493079E2,9.931137695E2
4.047893017E2,9.931142578E2
4.048293116E2,9.931138916E2
4.048693064E2,9.931143799E2
4.049093103E2,9.931129761E2
4.049493115E2,9.931116333E2
4.049893040E2,9.931115112E2
4.050293097E2,9.931096802E2
4.050693031E2,9.931079102E2
4.051093092E2,9.931059570E2
4.051493066E2,9.931033936E2
4.051893050E2,9.931023560E2
4.052293047E2,9.931033936E2
4.052693058E2,9.931032104E2
4.053093065E2,9.931036987E2
4.053493021E2,9.931018677E2
4.053893090E2,9.930989380E2
4.054293069E2,9.930968018E2
4.054693051E2,9.930950317E2
4.055093123E2,9.930958252E2
4.055493058E2,9.930994873E2
4.055893096E2,9.931010742E2
4.056293055E2,9.931021729E2
4.056693045E2,9.931032104E2
4.057093125E2,9.931007690E2
4.057493061E2,9.930975342E2
4.057893083E2,9.930961914E2
4.058293080E2,9.930955811E2
4.058693008E2,9.930961914E2
4.059093065E2,9.930955811E2
4.059493027E2,9.930946045E2
4.059893091E2,9.930957031E2
4.060293014E2,9.930946045E2
4.060693075E2,9.930889893E2
4.061093094E2,9.930856323E2
4.061493030E2,9.930834961E2
4.061893080E2,9.930805664E2
4.062293017E2,9.930807495E2
4.062693079E2,9.930834961E2
