"Time (s)","Pressure (hPa)"
4.487300658E2,9.917073059E2
4.497945558E2,9.916895294E2
4.508589968E2,9.916688538E2
4.519234628E2,9.916507721E2
4.529879618E2,9.916314697E2
4.540524768E2,9.916123199E2
4.551170368E2,9.915930939E2
4.561815678E2,9.915756226E2
4.572460368E2,9.915584564E2
4.583105508E2,9.915425873E2
4.593750398E2,9.915268707E2
4.604394998E2,9.915083313E2
4.615040248E2,9.914931488E2
4.625685718E2,9.914754486E2
4.636331018E2,9.914578247E2
4.646976308E2,9.914403534E2
4.657621528E2,9.914257050E2
4.668266728E2,9.914080048E2
4.678912238E2,9.913893127E2
4.689557478E2,9.913708496E2
4.700202918E2,9.913514709E2
4.710848118E2,9.913332367E2
4.721493218E2,9.913130951E2
4.732137798E2,9.912947845E2
4.742782798E2,9.912770844E2
4.753427498E2,9.912612152E2
4.764072728E2,9.912417603E2
4.774717548E2,9.912239838E2
4.785362888E2,9.912075806E2
4.796008198E2,9.911903381E2
4.806653538E2,9.911736298E2
4.817298658E2,9.911567688E2
4.827943948E2,9.911382294E2
4.838588678E2,9.911227417E2
4.849233438E2,9.911061096E2
4.859878368E2,9.910871124E2
4.870523398E2,9.910699463E2
4.881168748E2,9.910532379E2
4.891813768E2,9.910346985E2
4.902458408E2,9.910176086E2
4.913102988E2,9.910005951E2
4.923747228E2,9.909835052E2
4.934391498E2,9.909651184E2
4.945035938E2,9.909463501E2
4.955679938E2,9.909286499E2
4.966324038E2,9.909109497E2
4.976968198E2,9.908921814E2
4.987612458E2,9.908755493E2
4.998256748E2,9.908583069E2
5.008901158E2,9.908402252E2
5.019545708E2,9.908232880E2
5.030190498E2,9.908068085E2
5.040835638E2,9.907893372E2
5.051480518E2,9.907715607E2
5.062125318E2,9.907539368E2
5.072769908E2,9.907367706E2
5.083414488E2,9.907194519E2
5.094059128E2,9.907025909E2
5.104703588E2,9.906850433E2
5.115348288E2,9.906678009E2
5.125993588E2,9.906502533E2
5.136637968E2,9.906332397E2
5.147282778E2,9.906152344E2
5.157927318E2,9.905986023E2
5.168571998E2,9.905811310E2
5.179216908E2,9.905633545E2
5.189862008E2,9.905461121E2
5.200507028E2,9.905283356E2
5.211151808E2,9.905091095E2
5.221796848E2,9.904911041E2
5.232441618E2,9.904734039E2
5.243086538E2,9.904538727E2
5.253731838E2,9.904370880E2
5.264376578E2,9.904216766E2
5.275021608E2,9.904039764E2
5.285666408E2,9.903856659E2
5.296310988E2,9.903672028E2
5.306955938E2,9.903482056E2
